N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,000",200,-0.28%,100,"4,178,848","5,969,783",51.84,"1,089,509",12.12,13.92,
2,LG에너지솔루션,"366,000","2,500",+0.69%,500,"856,440","234,000",2.97,"287,980",92.35,10.68,
3,SK하이닉스,"114,000","2,000",-1.72%,"5,000","829,923","728,002",50.40,"456,607",10.31,9.53,
4,NAVER,"332,000","3,000",+0.91%,100,"544,643","164,049",54.68,"113,030",3.31,106.72,
5,삼성바이오로직스,"798,000","1,000",-0.13%,"2,500","527,997","66,165",10.52,"5,558",135.76,8.21,
6,삼성전자우,"62,900",200,-0.32%,100,"517,596","822,887",74.08,"114,291",10.89,N/A,
7,카카오,"103,000",500,-0.48%,100,"459,507","446,123",28.47,"455,720",40.55,2.70,
8,현대차,"165,500","1,000",+0.61%,"5,000","353,621","213,668",26.33,"143,033",9.27,6.84,
9,삼성SDI,"484,000","7,000",-1.43%,"5,000","332,820","68,765",43.47,"66,510",29.12,8.45,
10,LG화학,"448,000","9,000",-1.97%,"5,000","316,254","70,592",48.56,"170,687",9.56,18.47,
11,기아,"69,400",600,+0.87%,"5,000","281,322","405,363",34.59,"213,740",6.29,5.05,
12,POSCO,"282,500","4,500",-1.57%,"5,000","246,303","87,187",53.14,"47,899",3.72,13.97,
13,셀트리온,"177,500","3,000",-1.66%,"1,000","244,871","137,956",20.21,"157,237",43.39,15.81,
14,카카오뱅크,"50,100",300,+0.60%,"5,000","238,055","475,159",16.23,"330,177",162.14,5.08,
15,KB금융,"56,700",900,+1.61%,"5,000","233,804","412,352",72.28,"374,523",5.42,8.53,
16,삼성물산,"114,000",500,-0.44%,100,"213,051","186,887",15.94,"32,465",13.14,5.40,
17,LG전자,"123,000","1,000",+0.82%,"5,000","201,287","163,648",28.37,"71,032",17.75,13.23,
18,신한지주,"37,850",200,+0.53%,"5,000","195,533","516,600",62.08,"209,024",5.02,8.20,
19,현대모비스,"205,500",0,0.00%,"5,000","194,348","94,573",34.26,"44,387",8.28,6.87,
20,SK이노베이션,"195,500",0,0.00%,"5,000","180,770","92,466",23.17,"95,438",60.15,1.91,
21,카카오페이,"135,000","1,000",-0.74%,500,"178,428","132,169",42.53,"27,218",-671.64,-17.97,
22,SK,"237,000",500,-0.21%,200,"175,734","74,149",21.53,"15,437",27.70,1.11,
23,HMM,"33,850",650,-1.88%,"5,000","165,540","489,039",12.44,"1,552,600",4.26,8.93,
24,한국전력,"24,500",50,-0.20%,"5,000","157,281","641,964",14.85,"280,112",-14.44,2.91,
25,하나금융지주,"47,150",750,+1.62%,"5,000","141,564","300,242",70.93,"277,152",4.40,8.96,
26,두산중공업,"23,000",350,-1.50%,"5,000","139,180","605,128",8.32,"3,585,161",69.28,-37.20,
27,크래프톤,"280,000","1,000",-0.36%,100,"137,402","49,072",29.61,"16,687",21.95,61.86,
28,LG생활건강,"845,000","4,000",+0.48%,"5,000","131,974","15,618",41.19,"14,296",17.73,16.65,
29,SK텔레콤,"58,500",800,-1.35%,100,"128,017","218,833",45.64,"122,166",8.55,13.63,
30,삼성생명,"60,100",100,+0.17%,500,"120,200","200,000",12.62,"17,775",7.68,3.53,
31,하이브,"282,500","2,500",-0.88%,500,"116,823","41,353",15.11,"32,235",100.50,12.52,
32,삼성전기,"151,500",500,-0.33%,"5,000","113,161","74,694",29.17,"54,942",13.17,14.29,
33,LG,"71,100","1,300",-1.80%,"5,000","111,841","157,301",36.38,"51,019",4.69,7.50,
34,KT&G,"81,000",300,-0.37%,"5,000","111,207","137,292",36.86,"22,389",9.34,13.22,
35,고려아연,"586,000","4,000",-0.68%,"5,000","110,578","18,870",19.09,"10,712",14.65,8.37,
36,SK바이오사이언스,"142,500","4,500",-3.06%,500,"109,012","76,500",5.21,"107,351",54.87,13.25,
37,삼성에스디에스,"137,000","2,000",-1.44%,500,"106,008","77,378",11.41,"9,005",17.34,8.80,
38,우리금융지주,"14,400",150,+1.05%,"5,000","104,841","728,061",34.30,"377,853",4.40,5.87,
39,대한항공,"29,200",500,+1.74%,"5,000","101,564","347,821",12.11,"457,123",13.72,-7.22,
40,현대중공업,"112,500","1,000",-0.88%,"5,000","99,870","88,773",2.69,"20,879",-12.28,-7.86,
41,엔씨소프트,"438,500","6,000",-1.35%,500,"96,268","21,954",42.81,"30,124",27.07,20.83,
42,S-Oil,"83,400","2,100",-2.46%,"2,500","93,894","112,583",78.21,"86,012",8.03,-13.07,
43,넷마블,"107,000","1,000",+0.94%,100,"91,970","85,954",22.86,"15,823",39.57,6.35,
44,아모레퍼시픽,"153,500",500,-0.32%,500,"89,786","58,493",29.38,"98,881",59.20,0.78,
45,삼성화재,"185,000",500,+0.27%,500,"87,643","47,375",48.52,"13,872",8.00,4.96,
46,KT,"32,950",150,+0.46%,"5,000","86,036","261,112",39.93,"114,168",6.34,9.36,
47,LG이노텍,"343,000","3,500",+1.03%,"5,000","81,178","23,667",23.37,"81,099",9.14,30.94,
48,기업은행,"10,500",50,-0.47%,"5,000","78,152","744,301",14.07,"413,966",3.89,6.44,
49,SK아이이테크놀로지,"108,000",500,-0.46%,"1,000","77,001","71,298",9.67,"85,144",77.53,5.57,
50,포스코케미칼,"98,300",600,-0.61%,500,"76,146","77,463",6.14,"56,665",55.76,7.92,
51,SK스퀘어,"51,500",700,-1.34%,100,"72,856","141,468",38.84,"114,384",N/A,N/A,
52,SK바이오팜,"88,000",300,-0.34%,500,"68,916","78,313",5.89,"28,477",-170.54,-135.18,
53,롯데케미칼,"199,500","1,500",-0.75%,"5,000","68,379","34,275",24.48,"12,809",5.02,1.22,
54,LG디스플레이,"18,850",300,+1.62%,"5,000","67,448","357,816",17.06,"1,367,503",5.69,9.68,
55,한화솔루션,"34,550",700,-1.99%,"5,000","66,087","191,278",18.42,"105,906",8.83,5.30,
56,한국조선해양,"91,700","1,200",-1.29%,"5,000","64,899","70,773",19.73,"33,147",-5.03,-7.42,
57,현대글로비스,"168,500",500,+0.30%,500,"63,188","37,500",43.10,"10,751",9.08,12.45,
58,LG유플러스,"14,000",50,+0.36%,"5,000","61,126","436,611",36.30,"253,727",8.58,9.47,
59,한온시스템,"11,300",200,-1.74%,100,"60,319","533,800",17.51,"47,149",20.62,5.09,
60,강원랜드,"27,550",0,0.00%,500,"58,941","213,940",18.45,"131,731",-178.90,-7.92,
61,에스디바이오센서,"56,100","1,800",+3.31%,500,"57,935","103,271",11.42,"261,532",8.50,139.97,
62,맥쿼리인프라,"13,600",0,0.00%,0,"55,059","404,846",14.07,"52,826",N/A,N/A,
63,현대건설,"48,950",500,-1.01%,"5,000","54,509","111,356",23.14,"189,925",32.55,1.84,
64,삼성엔지니어링,"27,450",400,-1.44%,"5,000","53,802","196,000",39.89,"489,476",14.45,20.67,
65,F&F,"673,000","32,000",-4.54%,500,"51,561","7,661",14.15,"25,675",N/A,N/A,
66,현대제철,"38,600",900,-2.28%,"5,000","51,510","133,446",20.88,"140,282",5.91,-2.59,
67,KODEX 200,"35,740",80,-0.22%,0,"51,483","144,050",10.50,"757,744",N/A,N/A,
68,CJ제일제당,"341,000","2,500",-0.73%,"5,000","51,335","15,054",22.39,"2,756",11.63,13.50,
69,미래에셋증권,"8,180",30,-0.37%,"5,000","50,333","615,316",13.79,"105,466",5.60,8.94,
70,삼성중공업,"5,700",100,-1.72%,"1,000","50,160","880,000",14.94,"929,673",-2.78,-36.89,
71,코웨이,"66,300",200,+0.30%,500,"48,929","73,800",61.05,"18,509",10.98,31.51,
72,SKC,"127,000","1,000",+0.79%,"5,000","48,093","37,868",16.57,"28,470",25.87,2.21,
73,메리츠화재,"39,150",150,+0.38%,500,"47,225","120,625",11.90,"53,476",8.12,16.91,
74,금호석유,"150,000","1,500",-0.99%,"5,000","45,444","30,296",20.19,"11,622",2.68,20.18,
75,메리츠금융지주,"32,750","1,000",+3.15%,500,"43,889","134,011",8.39,"70,406",6.17,16.06,
76,유한양행,"57,800",100,+0.17%,"1,000","42,328","73,231",17.47,"13,470",41.91,5.45,
77,한국금융지주,"75,300",800,-1.05%,"5,000","41,962","55,726",34.88,"29,110",2.58,16.27,
78,DB손해보험,"58,700",200,+0.34%,500,"41,560","70,800",42.92,"22,877",5.21,9.08,
79,현대중공업지주,"52,000",700,-1.33%,"1,000","41,076","78,993",16.44,"21,330",-12.05,-8.12,
80,GS건설,"47,500",700,-1.45%,"5,000","40,651","85,581",26.97,"204,501",11.57,7.68,
81,한국타이어앤테크놀로지,"32,750",400,-1.21%,500,"40,569","123,875",40.92,"74,069",6.14,5.12,
82,쌍용C&E,"8,050",40,-0.49%,100,"40,561","503,860",3.35,"101,172",19.68,7.92,
83,팬오션,"7,350",230,-3.03%,"1,000","39,291","534,570",12.75,"2,267,034",12.63,3.25,
84,두산밥캣,"39,000",200,-0.51%,500,"39,097","100,249",25.27,"61,820",10.67,6.15,
85,메리츠증권,"5,670",50,-0.87%,"1,000","38,654","681,731",12.70,"129,481",5.76,13.08,
86,일진머티리얼즈,"83,400",400,+0.48%,500,"38,456","46,111",13.27,"55,859",60.52,7.23,
87,한국가스공사,"41,600",550,-1.30%,"5,000","38,402","92,313",11.10,"99,394",8.64,-2.24,
88,이마트,"136,000",500,-0.37%,"5,000","37,911","27,876",31.56,"30,332",2.74,4.05,
89,GS,"40,200",650,-1.59%,"5,000","37,352","92,915",19.23,"22,300",3.65,-2.82,
90,삼성카드,"31,850",150,-0.47%,"5,000","36,901","115,859",7.27,"4,793",7.86,5.69,
91,한국항공우주,"37,850",750,-1.94%,"5,000","36,894","97,475",15.19,"255,687",257.48,6.39,
92,삼성증권,"40,750",400,-0.97%,"5,000","36,390","89,300",29.93,"33,329",3.84,9.89,
93,한진칼,"53,000",700,+1.34%,"2,500","35,383","66,761",14.60,"10,554",-60.36,-19.55,
94,아모레G,"42,750",400,-0.93%,500,"35,251","82,458",15.74,"28,598",24.00,0.31,
95,한전기술,"92,100",800,-0.86%,200,"35,201","38,220",1.76,"160,391",346.24,N/A,
96,NH투자증권,"11,300",0,0.00%,"5,000","33,565","297,034",17.80,"31,811",4.15,10.32,
97,현대오토에버,"120,500","3,500",+2.99%,500,"33,046","27,424",1.88,"13,518",43.74,11.09,
98,한미약품,"265,500","1,000",+0.38%,"2,500","32,704","12,318",13.41,"3,078",42.29,1.65,
99,현대미포조선,"81,800","1,600",-1.92%,"5,000","32,673","39,942",11.15,"66,968",-21.25,-0.84,
100,롯데지주,"30,950",250,-0.80%,200,"32,469","104,909",7.91,"16,649",16.13,-3.03,
101,오리온,"81,300",200,+0.25%,500,"32,143","39,536",36.90,"21,565",13.52,15.50,
102,호텔신라,"78,400","1,100",-1.38%,"5,000","30,771","39,248",13.56,"168,628",115.81,4.51,
103,CJ대한통운,"134,000","3,500",-2.55%,"5,000","30,569","22,812",20.28,"8,073",103.80,3.89,
104,현대차2우B,"83,500",700,-0.83%,"5,000","30,465","36,485",62.29,"11,451",4.68,N/A,
105,DB하이텍,"68,500",200,+0.29%,"5,000","30,413","44,399",23.54,"83,827",14.31,23.07,
106,대우건설,"7,310",10,+0.14%,"5,000","30,382","415,623",10.62,"667,894",6.21,11.06,
107,한화시스템,"16,000",100,-0.62%,"5,000","30,227","188,919",2.64,"102,654",19.39,9.35,
108,TIGER 차이나전기차SOLACTIVE,"14,015",360,-2.50%,0,"30,205","215,520",0.45,"479,352",N/A,N/A,
109,BGF리테일,"172,500","1,500",+0.88%,"1,000","29,815","17,284",31.02,"5,246",20.19,19.61,
110,GS리테일,"27,900",50,-0.18%,"1,000","29,216","104,718",7.57,"22,698",2.82,7.50,
111,KCC,"327,500","2,000",-0.61%,"5,000","29,103","8,886",11.10,"7,708",4.13,12.79,
112,한미사이언스,"41,250",550,-1.32%,500,"28,307","68,624",2.28,"23,659",52.28,3.47,
113,한화에어로스페이스,"53,300","1,400",-2.56%,"5,000","26,986","50,630",19.79,"103,474",9.68,4.78,
114,포스코인터내셔널,"21,800",150,+0.69%,"5,000","26,896","123,375",6.54,"61,202",8.81,7.69,
115,현대해상,"29,900",900,+3.10%,500,"26,731","89,400",26.92,"108,863",6.98,7.13,
116,씨에스윈드,"63,300","1,700",-2.62%,500,"26,694","42,171",10.93,"79,932",57.44,8.19,
117,대우조선해양,"24,750",250,-1.00%,"5,000","26,554","107,291",4.56,"102,137",-1.79,2.27,
118,OCI,"111,000","2,500",-2.20%,"5,000","26,473","23,849",14.40,"60,733",4.09,23.93,
119,두산퓨얼셀,"40,150",450,+1.13%,100,"26,296","65,494",14.74,"52,385",803.00,4.18,
120,하이트진로,"37,400",250,+0.67%,"5,000","26,230","70,134",6.25,"52,663",50.95,8.23,
121,동서,"26,050",100,+0.39%,500,"25,972","99,700",2.87,"8,003",22.91,8.05,
122,DL이앤씨,"133,500","2,500",-1.84%,"5,000","25,844","19,359",22.62,"32,088",N/A,N/A,
123,에스원,"67,800",600,-0.88%,500,"25,763","37,999",53.08,"3,411",19.97,9.13,
124,제일기획,"22,200",100,+0.45%,200,"25,539","115,041",31.45,"18,899",15.44,15.58,
125,한화생명,"2,925",10,+0.34%,"5,000","25,404","868,530",7.69,"142,278",3.32,1.90,
126,롯데쇼핑,"89,700",500,-0.55%,"5,000","25,375","28,289",11.30,"8,573",-9.53,-7.70,
127,신세계,"254,500","2,000",-0.78%,"5,000","25,056","9,845",25.17,"7,970",9.57,-2.81,
128,키움증권,"95,000","1,100",-1.14%,"5,000","24,909","26,220",25.54,"5,298",2.73,27.63,
129,BNK금융지주,"7,610",0,0.00%,"5,000","24,804","325,935",39.93,"131,807",3.04,6.11,
130,CJ,"80,000",0,0.00%,"5,000","23,342","29,177",17.43,"5,242",69.32,1.89,
131,한화,"30,500",100,+0.33%,"5,000","22,862","74,959",15.83,"46,369",5.16,4.79,
132,한솔케미칼,"198,500",500,+0.25%,"5,000","22,500","11,335",41.12,"5,479",15.49,24.50,
133,녹십자,"187,500","1,500",+0.81%,"5,000","21,912","11,687",22.41,"4,586",25.40,7.48,
134,효성첨단소재,"483,000","9,500",-1.93%,"5,000","21,638","4,480",7.63,"6,576",8.63,54.69,
135,두산,"127,000",500,-0.39%,"5,000","20,985","16,524",9.30,"16,653",-73.16,-34.34,
136,현대로템,"19,200",100,-0.52%,"5,000","20,955","109,142",3.86,"67,199",66.90,2.84,
137,한샘,"88,100","1,300",+1.50%,"1,000","20,733","23,534",15.59,"27,407",25.92,10.83,
138,효성티앤씨,"478,000","4,500",-0.93%,"5,000","20,686","4,328",12.34,"6,100",2.69,76.22,
139,KODEX 레버리지,"18,975",120,-0.63%,0,"20,417","107,600",2.91,"2,955,118",N/A,N/A,
140,영원무역,"45,900","2,050",+4.68%,500,"20,339","44,311",28.10,"71,851",8.82,8.03,
141,만도,"43,250",700,+1.65%,"1,000","20,309","46,957",19.46,"60,349",9.11,0.37,
142,신풍제약,"38,300","1,550",+4.22%,500,"20,293","52,985",4.62,"1,731,479","6,383.33",1.72,
143,휠라홀딩스,"33,350","1,000",+3.09%,"1,000","20,261","60,752",41.75,"123,769",8.62,10.94,
144,현대차우,"83,000",0,0.00%,"5,000","20,216","24,357",57.80,"4,911",4.65,N/A,
145,롯데정밀화학,"78,100",0,0.00%,"5,000","20,150","25,800",20.54,"9,718",3.44,30.43,
146,KODEX 200선물인버스2X,"2,625",20,+0.77%,0,"20,079","764,900",6.96,"27,035,287",N/A,N/A,
147,TIGER 200,"35,750",100,-0.28%,0,"19,948","55,800",2.35,"121,650",N/A,N/A,
148,SK케미칼,"113,000","2,000",-1.74%,"5,000","19,911","17,621",17.91,"13,715",53.86,30.49,
149,한전KPS,"43,750",150,+0.34%,200,"19,688","45,000",5.72,"278,084",16.29,8.23,
150,TIGER 미국나스닥100,"72,725","1,455",-1.96%,0,"19,207","26,410",0.05,"49,063",N/A,N/A,
151,LG화학우,"246,000","2,000",-0.81%,"5,000","18,914","7,689",71.78,"1,885",5.25,N/A,
152,대웅제약,"162,500",500,+0.31%,"2,500","18,828","11,587",7.47,"2,952",76.36,4.39,
153,대웅,"31,400",150,-0.48%,500,"18,257","58,142",4.44,"10,766",23.17,11.13,
154,아이에스동서,"58,900",300,+0.51%,500,"18,196","30,893",4.09,"27,076",33.73,10.92,
155,현대백화점,"76,700",400,-0.52%,"5,000","17,950","23,402",18.28,"11,129",11.60,1.65,
156,솔루스첨단소재,"57,900",300,-0.52%,100,"17,711","30,590",6.15,"23,698",-227.95,-5.10,
157,효성,"83,700",0,0.00%,"5,000","17,636","21,071",7.49,"2,904",4.02,18.04,
158,농심,"285,500",500,+0.18%,"5,000","17,366","6,083",12.76,"2,597",16.27,7.50,
159,후성,"17,950",100,+0.56%,500,"16,623","92,607",6.32,"259,535",60.44,2.79,
160,KODEX MSCI Korea TR,"11,385",40,-0.35%,0,"16,611","145,900",3.90,"153,093",N/A,N/A,
161,LIG넥스원,"75,100","1,000",-1.31%,"5,000","16,522","22,000",7.14,"90,959",17.51,8.86,
162,LS,"50,500",600,-1.17%,"5,000","16,261","32,200",13.52,"8,816",6.35,3.94,
163,현대위아,"58,800",300,+0.51%,"5,000","15,991","27,195",7.05,"19,469",43.82,1.96,
164,동국제강,"16,750",450,-2.62%,"5,000","15,985","95,433",22.65,"128,865",3.54,3.35,
165,JB금융지주,"8,110",10,+0.12%,"5,000","15,975","196,983",41.93,"38,015",3.34,10.06,
166,동원시스템즈,"54,200",500,+0.93%,"5,000","15,820","29,188",13.04,"7,785",24.55,10.97,
167,KODEX 단기채권,"103,320",0,0.00%,0,"15,689","15,185",0.00,768,N/A,N/A,
168,코오롱인더,"56,600",100,+0.18%,"5,000","15,576","27,519",20.28,"16,644",8.78,9.70,
169,한미반도체,"31,450",350,-1.10%,200,"15,555","49,460",5.68,"30,868",15.00,34.59,
170,오뚜기,"421,500","1,500",-0.35%,"5,000","15,477","3,672",11.54,275,13.99,7.93,
171,DGB금융지주,"9,060",10,-0.11%,"5,000","15,325","169,146",49.94,"49,684",3.24,6.93,
172,현대엘리베이,"36,600",200,-0.54%,"5,000","14,938","40,815",30.22,"21,752",23.58,9.78,
173,KODEX 삼성그룹,"8,675",30,-0.34%,0,"14,860","171,300",0.14,"36,127",N/A,N/A,
174,롯데칠성,"158,000",500,-0.32%,500,"14,661","9,279",9.82,"1,035",18.67,-1.00,
175,TIGER 단기통안채,"100,700",0,0.00%,0,"14,535","14,434",0.84,234,N/A,N/A,
176,ESR켄달스퀘어리츠,"6,730",0,0.00%,"1,000","14,341","213,089",53.26,"84,604",52.17,1.34,
177,아시아나항공,"19,250",450,+2.39%,"5,000","14,324","74,412",6.88,"297,633",-3.31,-43.83,
178,롯데렌탈,"39,050",500,-1.26%,"5,000","14,306","36,634",1.69,"14,754",13.54,6.73,
179,티와이홀딩스,"27,700",0,0.00%,500,"14,107","50,929",5.58,"2,850",2.38,N/A,
180,KODEX 종합채권(AA-이상)액티브,"105,935",370,-0.35%,0,"13,911","13,132",0.00,81,N/A,N/A,
181,케이카,"28,800",750,-2.54%,500,"13,849","48,087",17.55,"19,188",47.84,15.11,
182,TIGER 미국S&P500,"13,050",210,-1.58%,0,"13,826","105,950",0.03,"115,957",N/A,N/A,
183,롯데리츠,"5,680",20,-0.35%,500,"13,801","242,969",9.54,"14,539",74.74,1.59,
184,LS ELECTRIC,"45,650",350,-0.76%,"5,000","13,695","30,000",16.77,"9,739",16.90,6.15,
185,NHN,"36,500",0,0.00%,500,"13,694","37,518",19.14,"13,868",42.15,1.35,
186,일진하이솔루스,"37,150",600,+1.64%,500,"13,490","36,313",0.92,"37,209",69.31,34.27,
187,한일시멘트,"19,100",50,-0.26%,500,"13,229","69,262",2.58,"28,169",12.58,N/A,
188,현대두산인프라코어,"6,690",150,-2.19%,"1,000","13,208","197,436",9.80,"342,306",2.93,24.63,
189,TIGER MSCI Korea TR,"14,300",70,-0.49%,0,"12,827","89,700",1.78,17,N/A,N/A,
190,한국앤컴퍼니,"13,200",50,+0.38%,500,"12,531","94,935",9.66,"5,239",5.07,5.08,
191,롯데관광개발,"18,050",50,+0.28%,500,"12,510","69,308",6.04,"107,499",-6.32,-30.43,
192,더존비즈온,"41,050",100,+0.24%,500,"12,472","30,383",35.60,"38,693",20.09,15.09,
193,PI첨단소재,"42,250",350,-0.82%,500,"12,407","29,366",11.60,"7,855",19.39,21.03,
194,TIGER 미국테크TOP10 INDXX,"10,895",300,-2.68%,0,"12,360","113,450",0.37,"139,117",N/A,N/A,
195,영풍,"666,000","1,000",-0.15%,"5,000","12,268","1,842",4.06,96,10.35,4.03,
196,DL,"58,500",800,-1.35%,"5,000","12,259","20,956",12.37,"5,178",1.86,11.84,
197,솔루엠,"24,200",850,+3.64%,500,"12,101","50,006",8.31,"197,557",45.07,43.26,
198,LX인터내셔널,"31,100",150,-0.48%,"5,000","12,054","38,760",23.99,"67,850",4.48,23.72,
199,대한전선,"1,400",5,-0.36%,100,"11,991","856,473",1.35,"860,227",38.89,0.92,
200,명신산업,"22,600",100,-0.44%,500,"11,858","52,470",2.73,"29,145",-9.80,-67.39,
